"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14101A-7_9",1,9,1,9,"test"," (Operator: lizbethpino, Time: )","GM14101A-7","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14102A-10_129",1,129,9,9,"test"," (Operator: lizbethpino, Time: )","GM14102A-10","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,27.1817216679457,195,17.8385416666667,13.7,4,1,NA,NA,12,10,1,270,40,5,3,1,1,3,4180,271,0,7,1,2,1,5,6,70,17.8385416666667,4.84882274545386
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14102A-11_81",1,81,6,10,"test"," (Operator: lizbethpino, Time: )","GM14102A-11","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,29.4217584369449,160,4.16666666666667,3.2,3,1,NA,NA,8,10,2,240,30,2,3,1,2,3,3050,235,0,3,1,3,1,5,6,30,4.16666666666667,1.22590660153937
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14102A-12_105",1,105,7,15,"test"," (Operator: lizbethpino, Time: )","GM14102A-12","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,25.2110590542602,220,15.4947916666667,11.9,5,1,NA,NA,12,10,1,290,40,6,3,1,2,3,4850,261,1,10,1,3,1,5,6,100,15.4947916666667,3.90640107741793
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14102A-1_84",1,84,6,7,"test"," (Operator: lizbethpino, Time: )","GM14102A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14102A-5_37",1,37,3,7,"test"," (Operator: lizbethpino, Time: )","GM14102A-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,26.4965524813351,210,22.1354166666667,17,4,1,NA,NA,10,10,2,230,30,4,3,1,1,3,4850,296,0,6,1,3,1,5,6,60,22.1354166666667,5.86512229404554
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14102A-6_27",1,27,2,4,"test"," (Operator: lizbethpino, Time: )","GM14102A-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,24.3244005901881,155,3.64583333333333,2.8,4,2,NA,NA,8,10,3,270,20,5,3,1,3,3,2850,139,5,2,1,2,1,5,6,20,3.64583333333333,0.886827104850607
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14102A-9_5",1,5,1,5,"test"," (Operator: lizbethpino, Time: )","GM14102A-9","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14103A-1_13",1,13,1,13,"test"," (Operator: lizbethpino, Time: )","GM14103A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,21.5083697234352,120,15.1041666666667,11.6,4,1,NA,NA,8,10,2,240,30,6,3,1,2,3,4260,138,0,8,1,3,1,5,6,80,15.1041666666667,3.24866001031053
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14103A-12_131",1,131,9,11,"test"," (Operator: lizbethpino, Time: )","GM14103A-12","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,26.3922386988758,80,16.2760416666667,12.5,4,1,NA,NA,8,10,3,230,30,5,3,1,2,3,4450,269,1,6,1,2,1,5,6,60,16.2760416666667,4.29561176739516
